segment_id,name,country,distance,city,athlete_count,polyline
1793526,Hoan Kiem Lake Loop,Vietnam,1629.42,Hanoi,80180,sxi_CqnaeSyLeAcBEaCAa@D]JeD`BALCH[d@GNCRMrBC`BNf@KJr@p@n@P^?nGcAzAQf@Al@BxC`@jJ}ANGPUz@kE?]IOKEiEe@
33103185,Hoan Kiem 2 loops,Vietnam,3422.1,Hà Nội,54579,cnj_CkaaeS\ChAOb@IRCJCZAp@GR@?GVHJ?bANt@EhABn@Kn@SjAUrBu@pAcBDOCe@@a@AOGOSSa@UsBOaAOsBQo@IuAKO@OEwAKi@AYGoAAs@@ICk@?g@Hg@Vg@Z[Nc@VOB[Pa@^ObAHPO`@BZGJ?f@IZ?`@Rl@V^r@b@b@DbBGXIF?j@QJ?zDo@j@C`AHv@JH?TEh@GP@LHJA\C\MJ?vA[zAk@TENM^a@LWFELS?QLm@?k@K[]UMMQ@y@OcCQ_@GO?o@Gu@OeBMkAOiBEqA?o@Eq@?K@YJkAv@w@^WHe@XSTCFAZFL?VEXKT?PGF@n@Mh@@h@DLZZHPb@`@HBL?JDP?v@Eb@K\@`Ba@l@Kl@Et@Ot@ClALd@HL?
1337572,Hoan Kiem Lake,Vietnam,1695.68,Hanoi,78566,alj_Cq`aeSh@Ql@KNERAPGVMXGjAIx@Fr@JR@b@Hp@?jAU`@C\?VCVGFIXKbCg@TMh@kACg@?eBO[YYSKOC}@Ey@Sw@IyA[qAMQEO@kAS{BO{B_@cAGcAC_@@eAd@QNSBQHiAXULS\CZFT@TGRKp@IzAB\Cn@Hb@L\NTHLp@d@`@F~@KV@b@GXGXA
12599332,Hoan Kiem Lake start at dip,Vietnam,1596.2,Hà Nội,80502,kwi_CkdaeSn@Y|@w@HMXcABUA_@GW]a@OEq@S}Cg@mAUiDg@kCUcCAkAC[@k@Ps@LyBhA]\Q^Mv@Ah@MpAEpAF^Lb@HL`@ZRHj@FbAAtIs@d@?|@Fn@Fb@I~BMjAOb@GdA]
33834368,Vỉa Đinh Tiên Hoàng,Vietnam,306.5,Hanoi,89110,gri_CweaeSVmBZiA?YEYg@Ys@KsAWiA?o@G
10802335,Hoan Kiem south sprint,Vietnam,319.4,Hà Nội,103432,s}i_C{baeSVC~AWXKRSv@Yd@WTYFQ`@_@Xo@@i@?a@Y[[O
33909618,Tràng Tiền (Phan Chu Trinh),Vietnam,368.0,Hanoi,18263,uoi_C}naeS\gA\}Bd@}APiAJ_@LoALYH_AN_AFg@
33909608,Phan Chu Trinh (Trần Hưng Đạo),Vietnam,302.0,Hanoi,21049,}hi_CeebeSV?h@DbBd@hB`@d@ThBVhB\
33905561,Phố Huế (Lê Văn Hưu),Vietnam,502.0,Hanoi,20816,mfg_CkdaeSmBPmCH_@Fi@?i@P{BCkAZUBe@GYDo@I_@@mAGo@QYG
33905482,Hàng Bài (Hai Bà Trưng),Vietnam,368.0,Hanoi,25061,gth_C{gaeSMBu@Ce@K[?a@Gk@Ak@KYMq@IU?a@Hg@Q]A]KU?aAM_@K]A
33909605,Hàng Đậu (Trần Nhật Duật),Vietnam,276.5,Hanoi,15153,qjl_Cgh`eS?WEe@Me@Ge@SaAGa@Y{@Ee@Mc@M{@Ok@Gc@
19469375,Long Bien bridge (from Old Quarter),Vietnam,1736.2,Hà Nội,11900,gkl_Cw{`eSISOq@[{@Ko@qAoDU{@YwAa@_A_@wAQc@{@oDc@}AUg@Uu@[}Aw@aCScA_@mAQs@Q[SgAYq@WaAO]Qq@Qi@Ga@K]c@{AYo@Us@e@oBk@iBOo@M[CUaAyCIa@M[Ic@}@mCIe@KWMi@a@mAW{AIW
33905452,Lê Thánh Tông (Trần Hưng Đạo),Vietnam,610.0,Hanoi,7633,iii_C{dbeSJGn@O^Q|@Wf@Id@Ur@M`@Od@Yz@@HAb@Sh@Q`AIVI`@Ev@]Z@^KlAa@r@ORMh@M^O^EH@FD
33909380,Điện Biên Phủ (Hoàng Diệu),Vietnam,326.0,Hanoi,32518,cqj_Cma_eSqBtBg@d@Y\uAjAa@f@oBhBSL
16179298,Mausoleum Interval,Vietnam,800.6,Hà Nội,38760,_mk_Cwg~dSYz@]d@QJ[@u@Cq@SmDg@_AKm@A{@KqA[k@CWBWJGFCJWhBG|@EPEF]FgAE_BU_AIeBYu@Q
16179292,Mausoleum Sprint 2,Vietnam,252.6,Hà Nội,43982,mok_Cae~dSk@B}@EyASm@C_CY}@C
8699700,Thanh Nien Road,Vietnam,778.9,Hà Nội,36942,ycm_Cec~dS}BKiAMeCIg@IwAMy@EkASOGWa@_B{AOKiAqAKOa@[Ya@gAw@OIOOSI_AUs@w@KQe@WWB
22654180,Lang Yen Phu Loop,Vietnam,801.4,Hà Nội,8266,czn_Cea~dSQzB[pA@LEZHbABHELKFSBm@Z_@JO@ADWKI@_@HU?_@NQ?aA^_@BKQES@i@LY\a@@KEe@D[GMCODELIf@AREJ_@?OXSLUZMLCbAK\OLK~@QLGJING?N
32151981,InterContinental to Thanh Nien Road,Vietnam,1975.2,Hà Nội,33351,s_p_Cuv}dSJDn@MvAg@\KVAr@@h@YNOl@Ub@KhASVSd@UhAa@f@A\M^Ef@Cd@?bAUb@QhBeAXU\_@bAk@`Ag@HYFOJA`@YR]rAeB^[^If@Sn@k@p@g@f@UZW^Id@DXPd@T|@Af@D^Jz@\d@^j@\r@Z~@j@x@x@lB~Bd@^zBb@tAN`FZPDr@Av@JVHb@XRXDhB
17173534,Thanh Nien Southbound,Vietnam,729.7,Hà Nội,53991,wen_Cct~dSCXBFVHr@LPHPJTRb@XTRf@Rh@l@Zl@RFl@d@^n@JZj@^X^\LP@r@AXHZBPDRNZDVKVFb@BXC~ANlAEZHRJ\@j@C
33905078,Hàng Lược - Chả Cá - Hàng Cân - Lương Văn Can,Vietnam,607.0,Hanoi,16701,_{k_C_n`eST_@hA_@XWdA]l@]|@]f@Sn@Mx@g@hA[XGLIl@S^Gx@WREh@QxAWZKXYZSr@M
32152044,Thanh Nien to Van Cao,Vietnam,2154.4,Hà Nội,49857,ubm_Cca~dSVb@Df@@d@EpBGr@Gv@IZMbADTXPTXC`@YfAM~@Gj@C|@DnAo@n@Mb@LXtBjAl@x@DLB^Ed@fCpFv@xAA\Op@Gb@F^v@hB@xAAf@E\M^_@Zc@TQFo@FWNeAdCEh@NlAFr@Kr@u@rAOh@ItBIh@SfAYhA}AtIAXPhBGdAa@pDWzAOf@
17173484,The Deep South Brazilian,Vietnam,1354.6,Hà Nội,32489,}gm_CeozdSASRmALe@NeAD{@DeBE_@Cu@Ie@D]BORa@Jc@Pc@BSTw@Bg@Rq@Bo@Ry@RWPy@A{AFg@VkAJOXw@?SDOSsB?GHQD_@DQPY^i@D[FOl@IpA]LMTe@DWLgBA]Ym@c@s@Uk@@QPgABa@Q_@Y]Ig@U[IYUc@
